table_catalog,table_name,table_schema
delta_prod,accountableyield_call_acceptterms,accountable_v1_1_robinhood
delta_prod,accountableyield_call_accrueandprocess,accountable_v1_1_robinhood
delta_prod,accountableyield_call_accruedassets,accountable_v1_1_robinhood
delta_prod,accountableyield_call_accruedpenalties,accountable_v1_1_robinhood
delta_prod,accountableyield_call_asset,accountable_v1_1_robinhood
delta_prod,accountableyield_call_authoperator,accountable_v1_1_robinhood
delta_prod,accountableyield_call_basis_points,accountable_v1_1_robinhood
delta_prod,accountableyield_call_borrow,accountable_v1_1_robinhood
delta_prod,accountableyield_call_borrower,accountable_v1_1_robinhood
delta_prod,accountableyield_call_coverdefault,accountable_v1_1_robinhood
delta_prod,accountableyield_call_days_1_seconds,accountable_v1_1_robinhood
delta_prod,accountableyield_call_days_365_seconds,accountable_v1_1_robinhood
delta_prod,accountableyield_call_defaultloan,accountable_v1_1_robinhood
delta_prod,accountableyield_call_default_nav_grace_period,accountable_v1_1_robinhood
delta_prod,accountableyield_call_delinquencystarttime,accountable_v1_1_robinhood
delta_prod,accountableyield_call_deployedassets,accountable_v1_1_robinhood
delta_prod,accountableyield_call_depositgateway,accountable_v1_1_robinhood
delta_prod,accountableyield_call_dvnproof,accountable_v1_1_robinhood
