kind,journal_mode,size_class,buy_kind,signature,slot,block_time_utc,wallet,mint,spend_sol,index_in_block,block_tx_count,next_block_slot,sandwich,n_attackers,attacker,attacker_is_source,attacker_known_as,front_sig,back_sig,back_where,attacker_entry_sol,attacker_exit_sol,attacker_entry_usd,attacker_exit_usd,attacker_profit_sol,same_pool,quote_mint,price_before,our_price,loss_pp,front_vs_before_pp,all_attackers,why_no_data
dbot_batch5,,0.2+,first_entry,4karmwYGoUWPU6NqPjWAEce41Gv4PwTDFg4nUMA6b58ix9EU76NTPdczXR1fYg8qt5YGQ7HcQ2i4eJWEuChXMUim,448815626,2026-09-20T18:41:52Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,CZ3qbW9qwENcoBfv5b4sNcbhvziWu4o2LbNP4BEibCHq,0.5117798,203,979,448815627,нет,0,,,,,,,,,,,,,PEPEqnuuCDbBC89p1u9vpnP1KQ2oj1xTcQBsjt9X55m,,41.21771285722773999268472816,,,,
dbot_batch5,,0.2+,first_entry,uvCydahvHewmdSmX9aJQSxHFKKE8mWtqbLq8THTiu6f3KDcdXmZNfcShT9uuwsHNJTevuFivyAtj2YbxHWWrQte,448820394,2026-09-20T19:03:11Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,EKtmPPLaCbEEKiwoHHtV7TsRsmPXs5CMGtQtZFSiinsc,0.51171884,896,1248,448820395,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00003473181125482723590149577437,,,,
dbot_batch5,,0.2+,first_entry,2rmm4ktfgYfu6ekRtF2AofhKCTYZPnRKiiW8gwzdzXuSC3QPQPommVcBtL8iGSoM7jc4MadU5D1Pxy8BowwKfueA,448827889,2026-09-20T19:36:38Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,536Y2Cf53iJ64N8JsQHnVPkCTPoXLhAHx5dCRX7XW7fM,0.51169344,37,1516,448827890,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000002536560599478165365310457999,,,,
dbot_batch5,,0.2+,first_entry,3JjcwFhZzGBLrkSVYPTgxjQAyxYxEMpv3dqRfFhXfSFMPeBStqe6rZM7sp3FZSuhzKuG9HRyojg5GokuD5GpX8Tm,448834603,2026-09-20T20:06:46Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,EqjNByrNag8V5sAn8pAJ2iHMRrrjTh3CwwgBxeNBckHd,0.51326824,447,1141,448834604,нет,0,,,,,,,,,,,,,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,,1.493835476929046439130887896E-7,,,,
dbot_batch5,,0.2+,first_entry,5ZfLVamsJYujpDvgHkG9uh8eHaDoYZJ461CsAdqkNE3XkMjzVE1zhqaGpRiskPnTxxiSEkhpzbsgbUAe9wmWyT4V,448840454,2026-09-20T20:32:51Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,FSJfPYF6VjuDuUxMFdUrCEkVr96bhC5oXKhv4o6JJxiK,0.51037264,264,1341,448840455,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,4.234696529969694721064955621E-7,,,,
dbot_batch5,,0.2+,first_entry,ZFXDe22nADduM53au3k75M4CzwmMCY3JZ2UNWeFKaGT8KqrZHbEWYDpowSqhd1qmBUcbjqGSDkzPtqtoJ6WRAJ1,448853032,2026-09-20T21:28:49Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,BJ9mPPkCqnMisMiv7JQW7MJ2fgDyjm9udmwHZuJ2YcTf,0.51171884,623,1428,448853033,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,8.923088854738340784950384737E-7,,,,
dbot_batch5,,0.2+,first_entry,5uGAoRigmjJsGuB7LZfnMpG61UNuUDPGdxqjuFpwF7ezY6iYuiA4fUj1hy7yXKYDns2RrEYYRsBruQeifeneuLMC,448888648,2026-09-21T00:07:33Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,HRXEKvAuz3Y1uocPtwRHezC5UAtNuD9X9kfyiSPuvMYb,0.51306504,357,1142,448888649,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,5.782792724092545719235056754E-7,,,,
dbot_batch5,,0.2+,first_entry,2GCyeP1dogWDBWrtwkJJRSriTNw8khtgwUwohswswBJ4WsRGxBg2hTpyJzXVB2Bc5gptdzhEVmMqbeuzdfN6vLEy,448899454,2026-09-21T00:55:40Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,6SsWQA2Gi6nbPAFZWXbV1bK1F1iDvFByrgFEaFXMQo1Z,0.51318188,1208,1279,448899455,нет,0,,,,,,,,,,,,,avaxGHCq3T7hoxd73oY2KY9hJSTaeMibXvHy5KNzh5D,,0.00001093456295958886402445338353,,,,
dbot_batch5,,0.2+,first_entry,d7ap44ViFzcg8YQWAvG4y9xceDMhsuPWfEBka3aBvMUGyKwoo5aoHU9wLBZ12utfGkEAaBYUJ6saGvWf9WHTF4w,448907159,2026-09-21T01:29:54Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,B8PejdbbHFCFnYqMA5RLttSLDtDU8ZEdvrgc1UqPX3xP,0.513253,414,936,448907160,нет,0,,,,,,,,,,,,,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,,7.284877723322453282896234441E-8,,,,
dbot_batch5,,0.2+,first_entry,aZMMt3XB3VjoVSTZELT1tbzoKjubec5eLiDnxNZ7k187KBwFFTRpXVFbKdqRuPRymuCh9TMGbXnyxuRN31vEMJD,448907299,2026-09-21T01:30:32Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,8U2tRCQZunwjEnEEtLtoKBSnmYPJ7nBodkg6pmqUdcca,0.51169344,865,1590,448907300,нет,0,,,,,,,,,,,,,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,,9.482778691316010344417292551E-8,,,,
