address,name,group,rank,prev_status,source
6KqVAU5CW47JSKtH24vnGo5an3SAGJLZY2VQuhaD2igu,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6QAqPr36syxZ8WGDofU5pQ8kRaMM2ZQ94GVvQa8hjFu7,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6UJoL88hePzxEVU92e48mph5ASiFVF8Bjvr1wTLEz7L8,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6UwCF9JCEPRFfBKibwAoyuEZukLwzATiWRjiGnH1Eass,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6aXFYXbFob1ZKAEDCcqZnX2vooA3TgEqDoy5dAQbeWoV,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6as6dCTD5nmhjVRM9Dh4dkbCjryVAdCPb9jbXwsPPEMe,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6bQSN4d6anoTwnE6XDPGLA9RV8cqZPeNJro4iQUsWmso,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6cHiR8J1J9E2jEVCknrLTW5EUsDUVk3oQN4H6uuFKQzt,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6cc8qKYLTK9PtyGM44Vs1ZMovFSthXMS6eCztKHKTSNt,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
