friday_utc,token_address,z1_end_n,z1_end_qty,z1_end_vol,z1_start_n,z1_start_qty,z1_start_vol,z2_end_n,z2_end_qty,z2_end_vol
2026-07-03 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-07-10 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-07-17 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-07-24 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-07-31 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-08-07 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-08-14 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-08-21 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,0,,,0,,,0,,
2026-08-28 00:00:00,0x116f00968269b7bfbad4109ce591d6e74c0601d4,1,0.8229715138401338,305.562618109002,1,0.021756471104069204,9.191260523288244,0,,
2026-07-03 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,0,,,0,,,0,,
2026-07-10 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,12,0.31221558053883103,235.4395929349934,14,0.617859113368491,468.15176215062877,11,0.264820202729717,195.87799736977024
2026-07-17 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,13,0.6521529516364548,485.5915643066159,18,0.7050405970964215,525.538019947505,454,53.95704372524718,40407.097400459905
2026-07-24 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,14,0.2119525819510974,157.77868950234645,27,0.23435684461195447,178.84464908624355,45,2.014916931402589,1500.6833963922456
2026-07-31 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,31,0.7889781418507538,591.0767606211899,22,1.7683007029141748,1326.3650807513336,94,9.392559193210682,7064.0042014707415
2026-08-07 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,308,83.43315913257979,64477.68938138088,834,265.4383894253143,205267.55186396782,809,220.21534476231884,170189.92600392422
2026-08-14 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,94,22.296942538835037,17340.716980481146,182,95.45238569246308,74258.88464477129,2688,651.3888923208394,506535.04118510126
2026-08-21 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,492,148.3925723335209,113926.1602933764,1188,560.5664607582908,431499.87605003297,2131,591.2832401618188,452403.7788714729
2026-08-28 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,3914,1079.1864593629805,836774.1682993927,4548,1282.6781899675225,994868.4932040554,10627,4593.517902943095,3531694.9232350253
2026-07-03 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-07-10 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-07-17 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-07-24 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-07-31 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-08-07 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-08-14 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-08-21 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-08-28 00:00:00,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,0,,,0,,,0,,
2026-07-03 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,0,,,0,,,0,,
2026-07-10 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,1,0.002910290405073255,0.68372490736,0,,,0,,
2026-07-17 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,4,0.43420312608477035,107.29515501809398,8,2.796089507128423,692.7425365876725,31,3.0438103334343323,753.4041865167922
2026-07-24 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,21,0.2958420223301252,69.44197325738598,93,13.323236194692734,3141.0667863992335,31,3.5025484631916646,824.3808355106908
2026-07-31 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,25,9.060465086179164,2493.5939960819996,28,5.535939204525251,1513.0838262499465,60,10.945365219879822,3035.3544655194987
2026-08-07 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,7,1.1362652059948501,311.110339948921,11,5.885278210980591,1619.0604182313011,32,24.137049453037445,6633.237505722274
2026-08-14 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,8,1.1213615176834661,293.7320833383062,24,0.9278826394667787,246.31895499097104,61,7.0406602654119235,1874.3616322874545
2026-08-21 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,4,0.015751296630563134,4.131960489538895,26,2.076636071420667,539.688780257052,51,4.7293906114023025,1226.883937793296
2026-08-28 00:00:00,0x12f190a9f9d7d37a250758b26824b97ce941bf54,44,13.223157653626583,3508.9139006446676,58,50.689808792796796,13439.710435269692,238,93.00614290735513,24637.735401315884
2026-07-03 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-07-10 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-07-17 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-07-24 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-07-31 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-08-07 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-08-14 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-08-21 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-08-28 00:00:00,0x141eea040c2250eec0314e336975e81f85f6585e,0,,,0,,,0,,
2026-07-03 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,0,,,0,,
2026-07-10 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,2,0.005159734163820235,1.9452568052880004,2,0.00515973555489591,1.9455621376320003
2026-07-17 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,2,0.005305979785044567,3.24847615823,0,,,1,9.19169585367e-06,0.0004005954831560712
2026-07-24 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,1,0.06570848965670921,24.94139025,0,,,2,0.009288607232377826,3.660336133411
2026-07-31 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,1,0.07849151531550026,29.97699,1,0.00016847,0.06472992564
2026-08-07 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,0,,,3,0.2601028126615844,98.50221183524447
2026-08-14 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,0,,,0,,
2026-08-21 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,1,0.13532532207426654,49.938583919111935,0,,,2,0.1666028775610046,61.11051926345755
2026-08-28 00:00:00,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0,,,0,,,0,,
2026-07-03 00:00:00,0x15cd20759ce7f3285c29a319de2d1a2e098c6f43,0,,,0,,,0,,
2026-07-10 00:00:00,0x15cd20759ce7f3285c29a319de2d1a2e098c6f43,0,,,2,0.010732831518802803,1.930645313976,2,0.010732824889237717,1.927997184664
2026-07-17 00:00:00,0x15cd20759ce7f3285c29a319de2d1a2e098c6f43,0,,,0,,,0,,
2026-07-24 00:00:00,0x15cd20759ce7f3285c29a319de2d1a2e098c6f43,0,,,4,1.159043098924405,212.34893815489102,0,,
