t,o,h,l,c,v
1787299200000,180.5811655836386,186.95084221187815,180.5811655836386,186.95084221187815,11649.379132370288
1787302800000,186.95084221187815,186.95084221187815,182.53559917179874,183.2927867778696,11146.799853080945
1787306400000,183.2927867778696,184.23710178016967,182.40889537769178,182.8515765299904,2862.155426896048
1787310000000,182.8515765299904,182.8515765299904,180.20604293435247,181.14305186784847,8227.567626662058
1787313600000,181.14305186784847,181.83068094374954,180.10561898329615,180.25756599000914,3913.8394529189723
1787317200000,180.25756599000914,189.83943437386603,179.45849343741025,189.02794208747517,53614.614262933566
1787320800000,189.02794208747517,190.86312224738964,184.9673646671648,189.97103168683321,30516.451165532137
1787324400000,189.97103168683321,190.33513310230785,187.894292559556,189.6335148109613,9118.43935761043
1787328000000,189.6335148109613,189.6335148109613,186.01416207100803,187.3169005614574,7221.9207203419
1787331600000,187.3169005614574,188.16166107169383,186.22185706795423,186.22185706795423,6465.250212923707
1787335200000,186.22185706795423,187.2724025044992,184.9046036549879,186.2448701260273,3882.6221129173164
1787338800000,186.2448701260273,188.18625984967923,184.35289299150915,186.7755966744426,9490.152435140948
1787342400000,186.7755966744426,187.26244867373444,184.54696795235677,186.92779476395825,7965.9875301678885
1787346000000,186.92779476395825,189.32285452804277,185.96265772653652,189.21651519512602,5029.463855650835
1787349600000,189.21651519512602,190.47166186111812,188.28220458741362,189.4019707445823,1556.1908227151034
1787353200000,189.4019707445823,190.5370308590074,188.50728420929718,188.50728420929718,1490.8402706934398
1787356800000,188.50728420929718,189.19968682562532,188.06407820407742,188.32790093764348,1734.6007988453723
1787360400000,188.32790093764348,190.72861692528244,188.32790093764348,188.6139912007315,2054.9151631197697
1787364000000,188.6139912007315,191.51831259930628,188.6139912007315,191.51831259930628,2912.2034868543014
1787367600000,191.51831259930628,192.16508877345973,190.600427471653,191.30183606261704,1135.4616312708658
1787371200000,191.30183606261704,192.7575308166965,190.65744351626327,192.2751152303685,4918.491907779247
1787374800000,192.2751152303685,192.2751152303685,182.99932153955834,186.78449584848022,36406.74201759031
1787378400000,186.78449584848022,187.7428408109453,186.39654212777384,187.41241921723963,593.2347367162306
1787382000000,187.41241921723963,187.81478817648065,186.6451845940312,187.36851901030556,625.4237032208442
1787385600000,187.36851901030556,187.98063568021146,185.3500634920227,186.4242687063465,5880.520946089519
1787389200000,186.4242687063465,187.11611177215582,185.5541606266603,186.2135944276654,1646.0932312304387
1787392800000,186.2135944276654,186.5551807941379,183.62517970616602,184.282085579675,6122.527168392649
1787396400000,184.282085579675,185.65817217212066,184.282085579675,185.65817217212066,133.15963718311133
1787400000000,185.65817217212066,185.97041038737757,184.51115108718426,185.97041038737757,850.9479115796693
1787403600000,185.97041038737757,185.97041038737757,184.67300087558266,185.38130343049144,345.87014089625603
1787407200000,185.38130343049144,185.69968042126465,184.75702477983776,185.24406656463302,621.747993213548
1787410800000,185.24406656463302,185.40791064401853,184.3190619311546,184.65305466210864,252.91711799847172
1787414400000,184.65305466210864,186.63511680471052,184.0870324461073,184.8792519885398,3863.3607283798697
1787418000000,184.8792519885398,186.14776001495085,184.8792519885398,185.58876491244143,57.22348910364291
1787421600000,185.58876491244143,186.08978378558874,184.4199684776509,184.4199684776509,528.643209368977
1787425200000,184.4199684776509,185.29550545169093,184.4199684776509,185.29550545169093,100.05957294391311
1787428800000,185.29550545169093,185.6335324644125,184.0153456727445,185.36428599659328,743.010089521165
1787432400000,185.36428599659328,185.36428599659328,183.62773776381133,184.90742614766785,739.3531332267232
