t,o,h,l,c,v
1785092400000,209.5262212280623,209.5262212280623,208.44620591395446,208.44620591395446,512.7760713362176
1785096000000,208.44620591395446,208.77981675132995,207.50759068850974,207.50759068850974,1034.0008112033117
1785099600000,207.50759068850974,209.27331409087242,207.50759068850974,208.5613124053039,782.2027877420477
1785103200000,208.5613124053039,209.42898978835808,208.19993759753953,209.28164449234743,1765.7656612767653
1785106800000,209.28164449234743,209.92596572594854,208.7112114856352,209.31154122617062,2834.943819020457
1785110400000,209.31154122617062,210.3709967559037,207.73830246226058,209.1515508109007,8244.941740936676
1785114000000,209.1515508109007,209.3215157321357,207.67298089398426,208.61126987510212,5343.12030309759
1785117600000,208.61126987510212,209.53173523457673,208.6000231174419,209.41944280255169,1685.6774418520545
1785121200000,209.41944280255169,209.9658680138138,208.50029796210896,208.50029796210896,1388.22196513346
1785124800000,208.50029796210896,209.4533896631045,208.0998255692929,208.68363715588768,887.6116654192938
1785128400000,208.68363715588768,210.1845593489982,208.31940696377202,208.31940696377202,1536.9245093713675
1785132000000,208.31940696377202,210.18976866773681,208.31940696377202,209.14323424181708,1747.898574482914
1785135600000,209.14323424181708,209.97419774431432,208.65120598777165,209.1308851039531,2398.8993967124898
1785139200000,209.1308851039531,210.3486311918731,209.1308851039531,210.1216523740097,2445.691551008207
1785142800000,210.1216523740097,210.5844790661163,208.83451633210325,209.04351231197134,925.3476169718252
1785146400000,209.04351231197134,210.2935181929445,208.44934675588104,208.52704754089342,3663.2095408834175
1785150000000,208.52704754089342,209.4504439302524,207.41258070507612,207.91089029390682,2659.23595503129
1785153600000,207.91089029390682,209.0276017237719,207.56328373853864,208.2621693757089,2277.696512663432
1785157200000,208.2621693757089,209.58977193625213,202.04453133735166,202.52118520552412,17564.767744437708
1785160800000,202.52118520552412,203.4029130201454,197.85473163229224,199.12798110676138,11654.143556270968
1785164400000,199.12798110676138,199.63571039909652,195.7519623253566,197.64306615862537,6991.1157505644915
1785168000000,197.64306615862537,199.1218400100579,196.3682687675393,196.60823047881556,5961.166130767079
1785171600000,196.60823047881556,197.37521085343056,195.0391634066348,197.3411031179652,2994.887936445295
1785175200000,197.3411031179652,197.77791132733634,195.88272887505775,197.1664925540427,3369.2842424843852
1785178800000,197.1664925540427,198.46646022770548,196.25728824774177,196.95349454168561,2692.864517084016
1785182400000,196.95349454168561,197.74300309836127,196.25303769830256,197.2446289530759,726.7242677756751
1785186000000,197.2446289530759,198.29293352744054,196.7396794590943,197.0109468468796,1172.7711321960787
