t,o,h,l,c,v
1785056400000,333.87654156473906,333.87654156473906,333.87654156473906,333.87654156473906,0.0
1785060000000,333.87654156473906,333.87654156473906,333.87654156473906,333.87654156473906,0.0
1785063600000,333.87654156473906,333.87654156473906,333.87654156473906,333.87654156473906,0.0
1785067200000,333.87654156473906,333.87654156473906,333.87654156473906,333.87654156473906,0.0
1785070800000,333.87654156473906,333.87654156473906,333.456304662635,333.456304662635,195.76353327263786
1785074400000,333.456304662635,333.456304662635,332.71242997352283,332.71242997352283,1.5869784027363087
1785078000000,332.71242997352283,332.71242997352283,332.70193012442184,332.70193012442184,175.44253437469803
1785081600000,332.70193012442184,333.7368996293949,332.70193012442184,333.7368996293949,492.5133556589116
1785085200000,333.7368996293949,335.4000041804772,333.7368996293949,335.4000041804772,21.217795012341792
1785088800000,335.4000041804772,335.4000041804772,335.4000041804772,335.4000041804772,0.0
1785092400000,335.4000041804772,335.4000041804772,335.4000041804772,335.4000041804772,0.0
1785096000000,335.4000041804772,335.4000041804772,335.4000041804772,335.4000041804772,0.0
1785099600000,335.4000041804772,335.4000041804772,335.4000041804772,335.4000041804772,0.0
1785103200000,335.4000041804772,335.4000041804772,333.24914420745614,333.9895047120093,14.432656018885055
1785106800000,333.9895047120093,333.9895047120093,333.85892123295196,333.85892123295196,2.992187573906698
1785110400000,333.85892123295196,339.84274442574406,333.85892123295196,337.6236353364722,1639.3122560472634
1785114000000,337.6236353364722,337.6236353364722,337.6236353364722,337.6236353364722,0.0
1785117600000,337.6236353364722,337.6236353364722,337.3196153792517,337.3196153792517,49.973546832839986
1785121200000,337.3196153792517,337.3553110333477,337.3196153792517,337.3553110333477,0.5376195443220739
1785124800000,337.3553110333477,339.17873879333376,335.1448387837624,336.5216828692436,865.063095995089
1785128400000,336.5216828692436,336.5216828692436,334.8810442310373,334.8810442310373,59.21797562805435
1785132000000,334.8810442310373,336.2058035678475,332.9405961010244,334.67135292244404,101.71578414384526
1785135600000,334.67135292244404,334.67135292244404,333.9605278380583,333.9605278380583,25.456117857219045
1785139200000,333.9605278380583,336.54938389628774,333.9605278380583,335.92578113324225,40.26563916155445
1785142800000,335.92578113324225,336.35746181219446,333.7845895134163,333.7845895134163,27.342473658250476
1785146400000,333.7845895134163,336.99793285449977,333.7845895134163,336.99793285449977,165.64981337182743
1785150000000,336.99793285449977,336.99793285449977,335.34084309726256,335.34084309726256,0.07624644749502459
1785153600000,335.34084309726256,335.34084309726256,334.0236798683376,334.0236798683376,9.717656442902157
1785157200000,334.0236798683376,336.92996446578366,334.0236798683376,336.46169829988753,517.8263089939629
1785160800000,336.46169829988753,341.30198227615205,336.46169829988753,337.5281494718449,1695.8176075963643
1785164400000,337.5281494718449,339.7272710230575,337.5281494718449,339.7272710230575,722.7994621825125
1785168000000,339.7272710230575,339.7272710230575,338.0328250313779,338.0328250313779,208.95318601615747
1785171600000,338.0328250313779,338.0328250313779,336.27137418435785,336.27137418435785,1.6104002482551478
1785175200000,336.27137418435785,339.10510987888824,334.76696714272185,337.6544269520425,119.32970427949004
