t,o,h,l,c,v
1783501200000,398.8782643426843,399.2690941184639,396.1825132300736,397.53656211527317,19431.40097981169
1783504800000,397.53656211527317,398.72654080940373,396.0098499925473,398.11820542467217,13029.51122592491
1783508400000,398.11820542467217,398.1961529725627,396.2243580025158,398.02208460407286,15342.836658720415
1783512000000,398.02208460407286,400.24585744792495,397.93055581471816,399.42288508080384,12576.696484610231
1783515600000,399.42288508080384,401.64713984821697,392.90204622480275,395.93778050236347,62569.83617228578
1783519200000,395.93778050236347,396.6855351293428,391.5718277579953,392.52898299358543,50253.02601275739
1783522800000,392.52898299358543,394.1982622542802,390.3051214592391,392.32272029626296,23596.664458043
1783526400000,392.32272029626296,395.01284795864194,392.3025401514154,394.83931599842253,22096.94107029735
1783530000000,394.83931599842253,396.1285895155049,392.451262663914,392.8197441122612,18739.093306310504
1783533600000,392.8197441122612,394.1775798103351,389.59548694712606,391.3845959167075,15172.604293608048
1783537200000,391.3845959167075,396.83109961098546,391.2234569780423,394.238088043819,16364.109499910739
1783540800000,394.238088043819,394.7847597422121,391.7463728580148,393.7569895569733,9889.15192868688
1783544400000,393.7569895569733,395.0581948810084,391.73250709610977,393.27771112787275,2020.0291397602462
1783548000000,393.27771112787275,394.60978376265626,391.9134343453892,393.79069288307846,1544.878228341922
1783551600000,393.79069288307846,394.09171952059364,392.72123834065167,393.4700435992711,1568.707106483999
1783555200000,393.4700435992711,395.5694431686017,393.22949295642724,394.11475373381074,16555.569942026017
1783558800000,394.11475373381074,397.81977863673535,392.8444789332289,395.35644606484175,11493.662336286425
1783562400000,395.35644606484175,396.1907354183503,393.631717116357,394.0239865378268,5454.102110919567
1783566000000,394.0239865378268,395.413836050704,393.0485486459098,394.18279040167926,4985.734967044137
1783569600000,394.18279040167926,396.28199462189434,393.7026850981875,395.3279404747063,5430.917506481041
1783573200000,395.3279404747063,396.9924700836482,394.4656962411025,395.2541719100437,7006.151336358058
1783576800000,395.2541719100437,397.4690009313358,395.2381221002156,395.97699158405453,3711.796714437601
1783580400000,395.97699158405453,399.08331496103034,395.97699158405453,398.73999961106017,10015.799273980016
1783584000000,398.73999961106017,399.5698691577108,396.23669605330446,397.4810453776454,11318.120334441224
1783587600000,397.4810453776454,397.55205722586595,395.90624418782113,395.9568837131021,3707.9093346892446
1783591200000,395.9568837131021,397.2611983319457,394.91576615366927,395.4745973268489,5477.612735929396
1783594800000,395.4745973268489,397.23014628160024,393.77297854604984,394.3188998679942,12261.224683770153
1783598400000,394.3188998679942,396.98594616769446,393.57398530797707,393.57398530797707,12152.8764590502
1783602000000,393.57398530797707,397.24440989023464,390.39363444405717,394.61985057638975,48163.200850777954
1783605600000,394.61985057638975,397.65698331157375,391.6444127631467,395.01583865411965,37202.12675279549
1783609200000,395.01583865411965,400.80779890924174,394.3716785614944,399.5936503728756,38912.38830026392
1783612800000,399.5936503728756,402.6740337653116,398.0822853577962,399.90371915951874,33569.6921731115
1783616400000,399.90371915951874,404.9468062297305,399.90371915951874,404.8176469688772,35658.489330256554
1783620000000,404.8176469688772,408.6536742564721,403.5933008093151,406.09193715976545,30002.24828218256
