deployer,n_launches
0x2cca35bc29586d5ae79e38b81be367029e51e2df,18
0xd6a0129179e06481d37aa9a3494ff67f206ba6ab,17
0x360793e38698ca4ade68d343ad9e1e11fc9a100b,17
0xd41feaa24dede516a501862cf1f376defb811772,17
0xf3b871b934cf8d5a71695a2a376a983a4d20da15,17
0x9d6c47b7ade9b5d60fd16c9dd3798e8c753943b6,17
0xbe9c74c99c17b302b46669d3dca06c7a3c7c0a1c,17
0x7172c7157cb37aefdf041817397d8e0be1c97a01,17
0x158dec481781d4c4767ed9da073d26e556c52803,17
0x4063263c0d53283784b84380c32a084a3574e4a7,17
0xf6841687d8bc868949fe33400a80bc61ca9b588a,17
0xa31172b933bf9fbb289e48d99dc72cb4872abec6,17
0x25a09cfec19294f52867e59637e523da3bb42fd8,17
0xe4ae080fc651e3b231f543c8ed0e63b21bfde1b5,16
0xe655ff1c5bfb0af48a6cf11a0d15a76c41b4d46b,16
0xe7c63bfe2cea1d24b8264ab4e0a82636e5404376,16
0xd7bd4319ef262496cd09286dfe22b94f06b97c29,16
0x2eae392af0b6e77bf92460131f49c60b9366e0d8,16
0xa9474ecc6a855aef1768dfc85a2ac7f4602e9e8a,16
0x1914354aab4a113dafcf5b21848c05c6a5f28535,16
0x158dfe627ba07ee4f4af9e4483c036204a16aff3,16
0x37ad32bbeb7eb662a352ff01575345903828ff84,16
0xffe46108bdc1b4da90f80ce3acc2b93498979d59,16
0x0f84ddc8ce6d64b8775b1f94641b12bcc6605131,16
0x842a0ff4170dec7ee8ef1400d1919c2c832da07a,16
0x70debf171caec449f0a5bc32882dba854b942b35,16
0x855a405d4bc65fabf1eba5cd0aeec3184b8da42d,16
0x81f28e749218c228a5d84d316e9b43680404d11a,16
0xde548f465758904f3fc0733488f736d61ed861c7,16
0xcac459576552a44e7417f0cb5fc066b77b66768a,16
0x0b3c2a6aa954da9d6b5688782f6a42bf6db6ab60,15
0xa94953cb296f4f94d8ec0a100f614025846d5c4f,15
0xb3815bc19a6c999f67ae9c0ea7bfc90ec6ae65fb,15
0x57822384af1ba2cf89bd147543a0c8c54a8aed6f,15
0x4ace8b665fe8137f40b4eff371590dbab8161a50,15
0x8c2ea65ee3922a66d8efbe0afc3a7e5a75c15cc7,15
0xd318f079223c65ee2cfc4b7094cdf121a80bd91e,15
0x2b199f5ffbf3315a06abf2a3a2f947774f66ea56,15
0x681ada806a85afe234227a8da60440dbfb160e14,15
0x13f6eeaa2fc4e7fe514f69e7e362060e6a32b4ba,15
0xd033fef452e115f61e6a5b34ef4a0a1d3568beb3,15
0x065742a17fcc9bec2b64ed96bcaee60601edbebf,15
0x7cba5ed2fb56bf2e5bdca525e153391518f4f90d,15
0x492e4292567573edbed97e1eaa28552b1d32ceda,15
0x99d011fe5e1f260cbf2c433cc449041a95546639,14
0xddac83fe8bd60710354f17c14741423b652e7779,14
0xd4da56170ddaed8fb3e6526adef4886f7a23a5ac,14
