cluster_id,n_launches,fee_revenue_usd,vol_usd_24h,n_zero_volume_tokens,zero_volume_share,cost_usd,fee_to_cost_ratio,fee_per_launch_usd,vol_per_launch_usd
0xc96282ca52f9c0e26fb4591ee310b6c6597c21e0,28,3945.4058564947322,394540.58564947324,0,0.0,35.19622059784501,112.09742948185468,140.907352017669,14090.735201766902
0x9bbe4bf42ba4770b231483499aec16b66399c58b,28,7545.418775886077,754541.8775886077,0,0.0,35.19622059784501,214.38150596055948,269.4792419959313,26947.924199593133
0x45507f3ba36322ca53602d31d070c4a0dfb33ccc,27,4504.175201523937,450417.52015239367,0,0.0,33.93921271935055,132.71301366857773,166.8213037601458,16682.130376014582
0x3d8a81e0373da15e7603c1f825d3651119c13318,27,3768.343687824726,376834.3687824726,0,0.0,33.93921271935055,111.03214794597145,139.56828473424912,13956.828473424912
0x3807771db053dae9ead980692b6ef85c9c10f0bd,27,389.14877661846936,38914.877661846935,0,0.0,33.93921271935055,11.466051962855195,14.412917652535903,1441.2917652535903
0xc373a6c9be43ca167f1640bea1fd4975603198e2,27,3550.790498228193,355079.0498228193,0,0.0,33.93921271935055,104.62206438288118,131.51075919363677,13151.075919363679
0x0c2d5632f1fe7645104c8bc9ef5e553a417149ab,27,3935.562675651043,393556.26756510424,0,0.0,33.93921271935055,115.95916228802706,145.76158057966825,14576.158057966824
0x050e41bdc73c0473097e53a5025b68b0eb6cbe55,26,3497.660554904504,349766.0554904504,0,0.0,32.68220484085608,107.02033635540012,134.52540595786553,13452.540595786555
0xe6abb12c2b76128ded32c4cde7d9d639aa96672e,26,3805.5454260470106,380554.542604701,0,0.0,32.68220484085608,116.44090245985154,146.36713177103886,14636.713177103886
0xa66256d906453a2834f652ea5ae50309ae918cec,26,10.262534879495545,1026.2534879495545,22,0.8461538461538461,32.68220484085608,0.3140098695748438,0.3947128799805979,39.471287998059786
0x18c1f926ece3791b8b1ef1b7c35cae912f0092be,26,4130.733645462305,413073.3645462304,0,0.0,32.68220484085608,126.39091106541464,158.8743709793194,15887.43709793194
0x4680ad867ce1a3e71dbf8aa32a12672771391148,26,5201.580921438975,520158.09214389743,0,0.0,32.68220484085608,159.15636496276008,200.0608046707298,20006.080467072978
0x0c7793f2a304240aa1432aae7d999f4127c1b951,25,3422.742431687321,342274.24316873215,0,0.0,31.425196962361618,108.91713537346436,136.90969726749285,13690.969726749287
0x011efbdcab136e95d62127af9ba8144fad17458a,25,3502.991966945483,350299.1966945483,0,0.0,31.425196962361618,111.47080386293406,140.1196786778193,14011.967867781932
0x2c11f90b818dadfeec1df73a114a196eb1c52f8a,25,4314.648342677623,431464.8342677623,0,0.0,31.425196962361618,137.29900715802466,172.5859337071049,17258.593370710492
0xd518c53a884f1d200d2c5d4e41ca07e89c5808a0,25,4928.639254720258,492863.9254720257,0,0.0,31.425196962361618,156.8371794335404,197.1455701888103,19714.557018881027
0xdd6c7f890e0a1ce98927fb60433a43a53150b9b8,25,3878.2615907343616,387826.15907343617,0,0.0,31.425196962361618,123.41248315418382,155.13046362937447,15513.046362937446
0x930698f378445388a135670f5dce471f04394597,25,4564.032639443578,456403.2639443578,0,0.0,31.425196962361618,145.23481411779156,182.56130557774313,18256.13055777431
0x664d9aec7b2bf1c37b184f0c198a8a6e85592823,24,3767.578248058604,376757.82480586035,0,0.0,30.168189083867155,124.88579402577953,156.98242700244182,15698.242700244182
0x7734567d85678e4d715c1fcf454a944285028cfb,24,2920.8807473501265,292088.07473501266,0,0.0,30.168189083867155,96.81988995859572,121.70336447292193,12170.336447292195
0xa4f75a09ed1c7eb70e78f97fb8b2838f3d3fcc93,24,3712.059089365601,371205.90893656004,0,0.0,30.168189083867155,123.0454728007083,154.6691287235667,15466.912872356668
0xe7c83dcee6f8bd37330d4d84934d73fa089d6fa8,24,3819.738566241151,381973.8566241151,0,0.0,30.168189083867155,126.61477809033647,159.1557735933813,15915.57735933813
0x8db5a0883936bbdb34c4b09a3874a10961ee445f,24,3174.495201806303,317449.5201806303,0,0.0,30.168189083867155,105.22657468704037,132.27063340859596,13227.063340859597
0xc6565d17223e1d218c3dfda889dbb58820530cf3,24,3183.7977841106435,318379.77841106436,0,0.0,30.168189083867155,105.53493201927796,132.65824100461015,13265.824100461015
0xa24a6477d70045dad3c213e00b6ede8400c9e613,24,4087.6590181717625,408765.90181717626,0,0.0,30.168189083867155,135.4956708474654,170.31912575715677,17031.912575715676
0xa464752bee1732c9c9f74a69c514e316f2f8e9ea,24,30.092051350247164,3009.205135024716,0,0.0,30.168189083867155,0.9974762245951082,1.2538354729269652,125.3835472926965
0xe1d2e5cdc052d4cb9368ec572ffe41a6bc13f740,24,3679.0762750634976,367907.6275063497,0,0.0,30.168189083867155,121.95217501573315,153.2948447943124,15329.484479431238
0xd242fd71a8bfeb39fe0aec53f079666480bb48e7,24,3077.7825585763076,307778.2558576308,0,0.0,30.168189083867155,102.02079249835361,128.24093994067948,12824.093994067951
0xcd3c0250ffc2d5599c4539efe6fcbf8acb9de445,23,3651.025902535767,365102.59025357664,0,0.0,28.91118120537269,126.28421774262482,158.74025663198987,15874.025663198985
0xe197fe1cf248f73849aa17cbbde7549467c26d45,23,1527.0859821749048,152708.59821749045,0,0.0,28.91118120537269,52.819909754884726,66.39504270325673,6639.504270325671
0x989635a7f2a48e3aa0ca883191d5283edb111ce7,23,3126.749873288232,312674.9873288232,0,0.0,28.91118120537269,108.15019459347356,135.94564666470572,13594.564666470573
0xdf4c6df37c37cd93001964d5827a3d234e7b3aaa,22,3129.656270012294,312965.6270012294,0,0.0,27.654173326878222,113.17121047225278,142.257103182377,14225.7103182377
0x41cb9737e854836d852485b7c788f71396815a78,22,3211.503676601,321150.3676601,0,0.0,27.654173326878222,116.13088696018289,145.9774398455,14597.74398455
0x04fcaed51e01339b8a4fdf5e9f586ead7f2541c4,22,248.32369562724406,24832.369562724405,0,0.0,27.654173326878222,8.979610154749704,11.287440710329276,1128.7440710329274
