cluster_id,n_launches
0x2c75407ed1519e31cd8fe67cc3691412e88f0460,10
0x99abb184c065b6e41745e7d7a53f1fa6db98727a,10
0xf68e17a4840c015856b7ac592fde0e2bbe7f51c5,10
0x9a5904bdbb21a6cfaa041c8e54eac5fd5fb7757f,10
0x290f5d17e0391af6f0c19c21ce30e66574f2b6c5,10
0xa41f2b5447ea85dbd12b187c016f44861585dc9e,10
0x480594ce304de2457db588842ee76a12539c42d9,10
0xc4c8747feb395802442d251d271064178fa93c6c,10
0x605a2aafb1ebaa27ef80495c56c31016a626ec4f,10
0x33d51cc2bb639827803fa77b6667a94efd74c8c1,10
0xa8f2fab7502037ddd431fd634e62d9121ea49bf2,10
0x880785aa44bda2c98287f1fc027f557c69b8178c,10
0x8fd3ec010b0044f5cd1972e98cc5cbf050f8d995,10
0x88c1e48a3b628a57fcc85065218cac4d36f7db5d,10
0xd5baecd24a736e04eb970258f149cdf73e07f034,10
0xf1ce91334ba4e63c9cf646e0b5b36d4d6cfd5a67,10
0x5060d6804783556a6990df78db363d35272023a8,10
0xe5923efe68960d7ae0736d73efc318355cc011af,10
0x7703e8995ea566e6586b6a377c300715d7fa0aee,10
0xfba949ea4c709eaee8089060c057c94251aa4cc6,9
0x357163bbd2f50027ae57204194280a00b11de0f3,9
0x5807f1e480b9244acca347dd23aaff657dde6162,9
0xfc16773c9bb0a57e4da0daa812ac4dbce96355a1,9
0x7551fd7a88afd941ddcc0a4f1cb62cf85afdae61,9
0x5411c6fd8f679e0b1c8f71d1bc959a9ce62b4ba4,9
0xd35aa004b84aa1b6b809c0a047aca428630fd6a7,9
0x84a75329f9c62da6c0bac30e7f7d676848804e02,9
0xd2d15a0f1cfd2c3b044bf9ae8e860fbbdb5bd23c,9
0xd0ac62c4f0a85b1ddf7eabde1340a22993e82154,9
0xba3e75747468d5d1da3a101c88b48e309d3ab4d8,9
0xc1725953be260ecd5c5ca21eb5524d4986afd06f,9
0x84695fe9a28a5666f57797412afa9893a5161018,9
0xae2d990dd632e366dd75ed27f732c3d6d63f04b6,9
0x047af2c1b26cb0b45cda2ad6ed696c39cb9d4f0a,9
0x813566fc382ea5c236d9a4d1224ae924b09ed865,9
0xdd2bd917734a98332794f6a4b822b54cd86a96e1,9
0xd29573d9ed7a09fa192a63a1644a1a32d504ea70,9
0xb6415a5acfbefdf3b0023535592c426ee02eea5d,9
0xd82f1f42f6017ab0ca3079b24cb8e3a356241ca7,9
0x7cfb5a33ccfb5142b1783343ef8599edd1805e48,9
0x566e28971976d6c486db0bb4b810f54417f2e116,9
0x35a114063355c3674c2b73f35d83536135ced9b7,9
0x52d38c161f5d66c4237712b6013d71add279e8c3,9
0x7d650396de5b8b1bb97914149cf1b847cc32a51f,9
0xef4b3ed300be250659c4ea6dac1cac5178ba7d45,9
0xe764648fddef0c0d5857a6b63812498ac57f61b2,9
0xb83d79b2940ca4e636a65ba38b0e4c8450dcb6cb,9
0x801d6c4018ccfca8fdbae560e44b91c70e0db624,9
0xee8b4d93b067dabc20d2eec60cebe0502bc2df55,9
0x5af36032d1fb759c5d3e3fa65abacc84f2ef0537,9
0xa51e2310ca65b394887f79f973042feda7df7df3,9
0x58d8b96737e07e591ce700d2b6cdbede30db518e,9
0x41b95f8dc81ab4d1f870e8dfd5284fd41bb50151,8
0xa16c200810754348e4650b85fb034a48faf5a8c0,8
0x1e98c05425b988aac5ed00cf9f642627eb9a2eac,8
0x808c2fadabad2e6c98b5f93c4dc10e1237e9251f,8
0x23b1d1d6294713b9917d8a5c6ab8dd2ad35f87ce,8
0x8106fd761916c476aaaa0c0c6fa8d452a84b26e7,8
0x49b604ce0624116f27dc7da159e92a396c7ca53d,8
0xedc4a892cb6a235abfcd0be2258975b69345b356,8
0x14ac0517d648a3755ed6ea99ae9491ce55338c01,8
0x976839c9221a4fbcff68d20b123b74be98d42989,8
0xed0227bb28bd27b14040e33145b04e16b03f5df3,8
0xc9f490a35c6b0bb09e44843a1266b5a53b0c102a,8
0x9faeaa90fc6836192bcc5ae5df31b8ab64af026e,8
0x286a91e8eda21a7ae3cdca1ef3a3d13f8292b703,8
0xe72fdcf2d1ec7c5891a2d32e1db822f15608175d,8
0xe8d7b4eb7d4ee418b272a0fb14b8a3f1bfb61c02,8
0x9f1acde8b5e176d3701743c5926562ff0e74eccf,8
0x9b783847d47a11c97a87b86c8064ef0936bb4a16,8
0x15eb96bdbbd2a379ba03b2e4e5dc257d88e04a63,8
0x4bbdb1006944f657db3924df62822c794f02f6aa,8
0x94eb25d11deb1b377fc6795b91359f24d5f97a25,8
0x5b8171d05048bbdba2666b389781dbe980ca9c94,8
0x5a3166387a9363da2642194e2cbd8f6ecabc8d94,8
0x5eb66b712cddade65a8c060917aeb57c9035218b,8
0x70600dd82677e8a70035d64cc0b1582722d46b60,8
0x0bd873162ab709c5046d133e12f76e51ba27b3d1,8
0x1ab4c874f16bdff5c96955417a0994c0e4f4afd3,8
0x2434e5369bbeee5ab7e17fb8198422ae1a449fba,8
0xe1fd319d11fd81539102e58470f47768c15f94ed,8
0x796b00bcf68c2bd7ceed9a8067abed7a5792f5cb,8
0x166cd82324f1c77f96b83cb4ab279c214bb2aafc,8
0x6ea87d485916f84978656c1e8beb8931684ed0f7,8
0xa7f8b4e24d3bc6e5a7aa1d28cc77d167cfd1d1fd,8
0x6c41cf820b5f87213dbd9b45a396201982938e49,8
0xdbcc6b3c672ac57a5f4825d9b2c55f39af8b1c9f,8
0x91c188e8487bf4b9535bbc1af963b85faf6535b1,8
0xa67c60c7b735e8a09dae22d0b2e5be7ebafdfd76,8
0xd301b0e21acb392c488c4604a05fd3a97da63441,8
0x2f3c46d18a1d477d606c725e002d5e39c2917ec9,8
0xbe226270b03c8f992ccfa1a00d8128ae8cda306e,8
0xf9b8240d5a8cb82ebb8ce55d63fa5749ca97b788,8
0x050f4fc438917585ec131f1e2cd79ca10eb72330,8
0x4f8aadd7295c9ac297d861a235429c9fa3c5a5df,8
0x3655a41b812d0c554e114597e44c03c3d4429e9a,8
0xaabbfb6e2b49ae0448df6fe2f668d59d6acce4d5,8
0x0470bcd37f81bae1be6bb456a314f7ff00e0f254,8
0xd3fcce8f1c09c496d24a12cf5a62e5272745e1d8,8
0xd6fbdc9af0163bbc6ddcef8deaa551f76d3bebf8,8
0x4ea429d32b93233101440d37c77d7fd272bfa65f,8
0x341973812fe273c26b0fdfb01ed815a9488c60e8,8
0xd236c5a00b58e6908d6417b734c6e497fec6b1b5,8
0xb91d5425e8b2a62f332b347d0042bcb829f28e1b,8
0x0098fe0cfd4c59239d2492965284944837de044b,8
0xd46330da412db02eda3908ba31e0ecc326fabe63,8
0x2b60dcf07a4a080a1ddb2172f46c7d43d4799ca1,8
0x6134aa306224ed7d9fb78ea31707c8ba877e9ab2,8
0x8883410138fec37f0f235db37e9c5e6c286f2b70,7
0x12d19fb1733f17271c5dc9d83ff1a6d3848e1475,7
0x1d9bcf06e7a60c88c9ef680bd9f886ed55acbd50,7
0xcdb09d89bc6489f598dd441d6c33c0530f2af8db,7
0xaa635a77bb6b12e9a2ea96cce7b99a52ca456a1c,7
0xf442538c8e474760d825e070d95f5915d064964e,7
0x6797a4c8e26f25965a3b7f23f5aa251723e89d14,7
0xd5e07a28c95dc640b4d60bf3823e77e84c796ce5,7
0xb35e351a698ea754e6c4ec0cd11fc40ee90a327b,7
0x4889cde87289134dd2399617a8a14645ab97e574,7
0x08eb294f7aede4d10253ef5bb1f63d4bf7957098,7
0x02b546c8f4c6f380310ce316546dd2b5c47df1eb,7
0xd458cbc0d235c1c7cbf136779ba060f800b02f9f,7
0xbf95bd8f2099f3a989b0682874970a7826b35bf9,7
0x27420991b2e4148b6cf8402d00e9285b513c8282,7
0x795bf43025459247283ab3788045aebe485f6407,7
0xa1f95ca26519fb68ac06011ed5352735d1df8ba1,7
0xe7276e84ac236149b8c639dcfdfe8511c55b9080,7
0xf5b3725f0c3ada8ad3a5dd121450cac5444be753,7
0xbfadad6552228195697c80b0cd73af45fe18d149,7
0x5fb8f47d80fd14f1b091556943456d80cbb9c1c0,7
0x2ea7b3ed35bbdab26eadb271e064dfd84e20edf9,7
0xd45f41a5af7abe899922c1d349569b75ae58562d,7
0x147b42e09737961438dba7771e945e0f85e85257,7
0x09de78ef3fcc56f2906dfae03f1ee7a72f200021,7
0xfe936340d59940523f5d68fbea20bba8bd9ee8cf,7
0xb678d33635e85a03ae0d4cb6afe1dfee37038ff8,7
0xa3bc55dfd752e30832b937e65339e2b3ca592187,7
0x59d9163ac880d23b32046d10b9e59dfc9b2ee32e,7
0x480eb23ca2e2d30f1e776bcd975a1ee2c222209d,7
0x43f58a3737a15f1792c89e4ff066bbbe7a7c4613,7
0x5f59f49893bae3ffadf388b21bce2c40a5667ea1,7
0x069d69d6f0e597e7ea7b7b8d4656d52e6b50a780,7
0x1a70b0d1a5bf13a7deb0e687e9deaf0838237d35,7
0x9277fc066ad963466e4577956f03f8854c2479c6,7
0xafc1917cbf2deba66d9a6643ad508a6058c81173,7
0xb4a961b0f96178b3eb583925266223036bb2386f,7
0x3208ac7e7d04c10d5dd22d8e54415fb4b0097fed,7
0xfef2d44c1629fdf15d78cb6559070a16c0d25b4e,7
0x525e60770eaf43cf2313902b62a4d5547191ca16,7
0x22a75e913bf36cf81e6f75a75d0231a5fda331b2,7
0xed07047662a55e11a9db969b44371668035e075c,7
0x8bc99a4aaf5f446f7eba1b94d27870ff3de0c5d9,7
0x6f9e8e3aa471deeab7ccb8851d69556224031cf1,7
0x28c631278087634ea7be7b60b445630d6796ce72,7
0x5b61e37f4bab7cd214379cf3b19b9caddf2ad4d4,7
0x9678737aedee500be221c5ba28015346b4a11023,7
0x1ae963b903223aa675f9d5e52e371e545877123a,7
0x742f219c17754ffea38383477bbb5f807454331c,7
0xd79856d8ad3f4bdb346cf21699e3f19db51c6a7f,7
0xa73f4a6f594a4c59a14a035990ee3a0322164804,7
0x16922a4d6cbfeb072c1ef12a898557d7decbf9a6,7
0x84f82870363307a5cb0987b4d3d3e96a745cb0f0,7
0x8fa5dbfa7ff36e47699bfc471db7fc4616557ceb,7
