executor,n_profitable_txs,total_profit_usd
D460B4182ED80992D498290BCBC6B60E95DE181B,469,149066.6420997485
ABB2ACD3BE814A80E502575D6C1DC5F789E9CD10,499,148970.25251954776
1CD9D560440AAB96F7B0A007CED7C2191CAC5BAF,462,147115.92411928414
A7B474644912D08210C8962564E2F53FD0A7D5CF,7,146767.3256481158
77037F469FD813C1E938330DBD96A884076DF0F9,24,146361.5094332076
FE68082A448F17A3D1700957B9F63176CECD334E,497,146284.81051897962
D2E1B8BE7E172306FA99B74969AF6FBB30BEB728,73,144285.50184153198
CA7DED7E4F4BA8AB3B10009236AE6D1B95094589,504,144263.6413987252
5C257FF4E94CF796DE07B1B686F6FE6C61D68396,31,143662.72496190012
1F817EF8E6B9F1536A20CF0C2394733FD1A5981C,29,141847.4614730878
824ABDA7E8BFCF47C543761C50BC7BF6756DEDA9,491,141751.90235300214
56C262027E0DE4AEA31D2489529CB25D23E58A8B,526,140937.07778440174
D9F0834E7CA9B9262DF3189B850EBF9514027E82,3,140295.71655678126
50837288BA720044D07AB645AB1F2EBA96FFC344,41,139038.8577251391
173216D1FD08E76FD4F25710D2849091CE2FB026,2,135565.79311310983
694F2E194929AC94EB379368EB6F4CD7452994A0,300,134091.27903254074
00000000C1CA426E26D419E332055AD057225F7C,107,133342.5574004214
C27A2B4BD5B374C3CB3C711E17901628824F8258,468,132094.22596313182
69374F8233A4069D48F8994D84052ECAE6277EF5,458,131897.81107169754
2BB27B73C602643F42471D4751FE4FC4EEBEFBD1,507,131675.75667552932
D840DBE718ABC46C6C7704BD7FF16E69A23D37BA,181,131023.74974856137
0F6B50900E6875BBBB6BFE1789853DBE4DB03772,3,130394.86558242148
2DB2C55A531141C8268A9986703A30417C8F633C,10,130291.64263145147
6AEA17B3257AC7758BB51D9FEBA51722A28CA818,12,128460.21642991588
8D77AAAAF124CDF62FECA36DA74ED44E6A1333C0,27,127164.79494341896
29794DCBC4B05B16087B0C489D35168519832D03,16,126915.06366023915
97047B79EFC5C9ECE21B6230E67EB500037CE850,20,125906.62684003178
24E7A8963C07DC0AD58098172AB2B9826BC90FB2,17,125469.88350119072
00000000D282F1DC75377E2C68D2452641495145,115,125237.50797229243
D9AF4455B56F8C703B63392F25A66E083B26C379,36,124053.33804525553
82EA824B8FCAB591683BF934A11635269B81F999,12,123982.95454879006
0E3EB60DF4D14B213DC4DE53316ED7BCD4AADC87,179,122574.19517786063
D9497B53ABCD6972B6370CB195B6BFD6B280E607,490,122298.50487681908
B3AA9923489BC2BFEC323BF05346ACD4AFBC92A0,5,120157.17528653014
9ACAB3C0BD3A802FB88D925E4B8AD7D9811D1879,149,118227.73555249297
B7666840CD334C6E6A4ED87BFB57FD089D514703,36,118126.71142494852
DF0524B1F1A7E60928AAD50B6687103065694277,65,116735.15721188836
534A8A849BF1299DC9773CD14CC0223EE377989C,4,116493.09178822662
81ADF99FCC6073157008E25010967D307875C13C,450,115878.0629285429
7660E7E9E674EFDF5CE56B14593DCB7482FB95FF,186,115324.84890005103
9C97EE995EE9D19F5AFBB2BD979C6EDE03000E7F,151,114540.68374458328
88A0641C1FBFF74B99D460C440369F44DD432AF9,15,113065.44428200001
4B24C0F85C3C12FDE656BD8AFA4064A61D0742A4,4,113021.8872783936
FB792E4B3C9AA2997D678BA240AFF9566493C32E,26,112636.39099023512
00000000B114BE5D75C53D85302AD08318ABEFAF,90,109492.79485287749
CB610336E847DDE55C319ED8513ED8601A67F719,14,109133.48715496736
1D71E6ABA7B39BC0207D5F8C6DBB334DCAEB93EE,9,108670.53533884975
000000000AE3BC602EB9C567DF7B526C27EA7334,103,108657.90265498945
47ED9304335F9E077A6E11B808B0DBBD76DD0006,84,108423.19770284429
EAB30478E873BED4B14A2B7DF06D99BC4D5A0177,2,108091.04581033016
D657BF12B59DFDE3573C521ABC3B111B62DFE3C5,827,107011.42173438915
E3479B4A4B0CC3826A0D84EA6FFE4757712198EC,176,106634.3222023988
D0640FCB1EF5AC385B57701C5EF7030331C8D80B,3,106625.011642233
728AAD5445E7A1727B67B5B30AA153F5851AE274,1,106459.91492561747
5AAA1A65DC28FC62D6F41A624615A24F225DEE9D,305,106425.84809117523
5087043BB9490E6EA84A324A104B03C4E00DC3E6,160,104014.74301825826
9572561EBE198566BBA3B4E7C53F82AC27587431,34,103684.49090343325
4671FB2FB50A8001E13523A8A3DF37BC67777777,34,102009.75534550025
