executor,n_profitable_txs,total_profit_usd
F72390CC9F2488C46E16A8A6A3A5F1548419FAB6,41,259099.59094010942
E209E0047731AA494289E1AF9A0D03DA19C5EF08,464,257642.09794058674
433735F12BC7C3729BEE7B2338445D38FBB81B62,738,256786.85256915193
AB1757354147EDEB84418A494347ECE4AF983477,137,256216.87867366028
43375C62236BC5524B02D388BAAADC5BB5F56168,732,252601.40096699167
0792DFF115137F61A43123DF00A19E525B22956B,49,252035.25228667812
4337B71C61E117E3EE144A4C714DB81772D02D4D,710,251767.142231099
43370250BFC02C7F085CB105558DA41E9CDB2D79,775,249250.41311063818
1F421BCE684B0A7CD2926744A6EDC7EDDCB048B4,48,247173.30991797074
7382D9A0C44CF8B9A781CC043892326C9544AE2D,1,245464.708898
E90C0A6C84125E82B1F8F5F3167953E73338F964,38,245392.04467976373
5A82BFB1ECF8C8019A6BF52B3F45975BA12729B5,124,243873.43329256886
56995CBBCB598ACFD40F053C7DDC48F4C97A294F,121,240369.78225365683
0EC4E45F9CE3020024C0418A74CD31FBC487038F,429,231071.99656540723
CC4BC7882D5EC4A3716E589AB3D816B61AE47A1A,461,227027.98561484687
C9A155FCBD61106B37E2E5B7598A6B4BED7C88DB,19,224515.72971807214
A4DEDDA59F2908B92AE192CFD494839373BCB3C4,3,209813.4992558054
D71212934E832CA1D1ADCA7C6AAB03642EDD3279,1042,209235.54741632642
A67D7EB4DC68FA6CE8E34EF8CADAF075B9893FBB,470,207085.8366828754
919968A4238A54B381F022A360260EF5D7E015AC,402,206294.72961210425
728F51950FF096DC03A48F5E83F45AC8BB75F500,424,199338.77506677373
D71212080D90FFA50A80BFF2AF2ADE6F99F29B96,948,198565.65588492074
18DD3C14E34C1BC379F7538068C59160D9F68E25,443,196774.40929999255
668001289B9DA5A23840A6D4FA195D977F23BB3B,165,195257.69256548266
F42B73D2E4D3912EADE2A5F7AB39B54064C2ACEC,419,194704.60503069276
331D9A049D496385998067ABF6CBB6371C8D2466,436,192542.10220487393
9DEEFDA95105C7AC01A24AA30A595F1C6E523BAB,474,191179.89895200008
