n_trades,token_address,vol_usd,week_start
646,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,105582.3384367105,2026-07-29 00:00:00
352,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,85888.70921123278,2026-08-05 00:00:00
357,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,74415.98913340742,2026-08-12 00:00:00
264,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,33809.818761980336,2026-08-19 00:00:00
8361,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,1061835.2534886936,2026-08-26 00:00:00
3,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,0.29995809999999995,2026-07-01 00:00:00
4,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,1.142854065953,2026-07-08 00:00:00
767,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,28670.90460571847,2026-07-15 00:00:00
11587,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,1207507.6016965408,2026-07-22 00:00:00
10410,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,1883175.7967563798,2026-07-29 00:00:00
24376,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,6208717.225424423,2026-08-05 00:00:00
20581,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,5021719.287891101,2026-08-12 00:00:00
9055,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,3286022.829512153,2026-08-19 00:00:00
17525,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,3779724.916927056,2026-08-26 00:00:00
551,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,7053.542770725258,2026-07-01 00:00:00
6642,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,365349.6237617679,2026-07-08 00:00:00
14794,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,1200485.5348391796,2026-07-15 00:00:00
86705,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,10624387.019416982,2026-07-22 00:00:00
57307,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,6594233.2467971025,2026-07-29 00:00:00
37761,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,3952975.9528520727,2026-08-05 00:00:00
52092,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,3793308.105844566,2026-08-12 00:00:00
39521,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,3665840.906413841,2026-08-19 00:00:00
226830,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,35037820.18635754,2026-08-26 00:00:00
3,0xb0992820e760d836549ba69bc7598b4af75dee03,0.2999292,2026-07-01 00:00:00
41,0xb0992820e760d836549ba69bc7598b4af75dee03,150.5372960195011,2026-07-08 00:00:00
914,0xb0992820e760d836549ba69bc7598b4af75dee03,11465.703706312637,2026-07-15 00:00:00
1853,0xb0992820e760d836549ba69bc7598b4af75dee03,107594.18433583583,2026-07-22 00:00:00
602,0xb0992820e760d836549ba69bc7598b4af75dee03,20651.166186714323,2026-07-29 00:00:00
372,0xb0992820e760d836549ba69bc7598b4af75dee03,4011.127761882373,2026-08-05 00:00:00
251,0xb0992820e760d836549ba69bc7598b4af75dee03,1912.6596346344252,2026-08-12 00:00:00
253,0xb0992820e760d836549ba69bc7598b4af75dee03,1541.6100997358465,2026-08-19 00:00:00
1545,0xb0992820e760d836549ba69bc7598b4af75dee03,66237.39394880371,2026-08-26 00:00:00
22,0xb90a19ff0af67f7779aff50a882a9cff42446400,96.66329467862799,2026-07-01 00:00:00
113,0xb90a19ff0af67f7779aff50a882a9cff42446400,2010.4521305926476,2026-07-08 00:00:00
2652,0xb90a19ff0af67f7779aff50a882a9cff42446400,87775.16181325809,2026-07-15 00:00:00
5670,0xb90a19ff0af67f7779aff50a882a9cff42446400,837387.4925031068,2026-07-22 00:00:00
5998,0xb90a19ff0af67f7779aff50a882a9cff42446400,1713398.5841514098,2026-07-29 00:00:00
5066,0xb90a19ff0af67f7779aff50a882a9cff42446400,1579778.469321291,2026-08-05 00:00:00
5480,0xb90a19ff0af67f7779aff50a882a9cff42446400,816602.5030691681,2026-08-12 00:00:00
5881,0xb90a19ff0af67f7779aff50a882a9cff42446400,577695.2323996333,2026-08-19 00:00:00
24599,0xb90a19ff0af67f7779aff50a882a9cff42446400,4389858.374050092,2026-08-26 00:00:00
3,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,0.2999292,2026-07-01 00:00:00
547,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,32341.47766117786,2026-07-08 00:00:00
3571,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,166665.0202915155,2026-07-15 00:00:00
8136,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,894826.068796747,2026-07-22 00:00:00
5462,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,462181.8179733954,2026-07-29 00:00:00
3427,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,177207.071162311,2026-08-05 00:00:00
7314,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,515762.38019686384,2026-08-12 00:00:00
7770,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,534630.9643025681,2026-08-19 00:00:00
30820,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,3064604.4419386964,2026-08-26 00:00:00
4,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,11.339954918837998,2026-07-01 00:00:00
15,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,1.812888953418541,2026-07-08 00:00:00
492,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,4281.629382438114,2026-07-15 00:00:00
22203,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,3109033.097032531,2026-07-22 00:00:00
9705,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,2253728.6273109447,2026-07-29 00:00:00
6447,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,1285760.020945528,2026-08-05 00:00:00
5609,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,1062176.5205477737,2026-08-12 00:00:00
6255,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,524874.7223278689,2026-08-19 00:00:00
16651,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,1639658.5084837065,2026-08-26 00:00:00
807,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,10557.273802268164,2026-07-01 00:00:00
13767,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,1865965.2731161756,2026-07-08 00:00:00
66260,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,11693157.903302638,2026-07-15 00:00:00
334101,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,85082693.69603296,2026-07-22 00:00:00
145615,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,41741933.15235515,2026-07-29 00:00:00
105832,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,18602911.454984132,2026-08-05 00:00:00
158095,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,46819057.763250545,2026-08-12 00:00:00
186517,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,112052505.8843989,2026-08-19 00:00:00
875201,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,278775508.2253813,2026-08-26 00:00:00
429,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,37.29288034086,2026-07-01 00:00:00
47,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,568.310449626278,2026-07-08 00:00:00
1771,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,47363.647482881825,2026-07-15 00:00:00
1826,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,101633.79853257824,2026-07-22 00:00:00
2630,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,259015.9055213906,2026-07-29 00:00:00
1974,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,178943.75781233754,2026-08-05 00:00:00
2689,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,179973.0945821128,2026-08-12 00:00:00
3459,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,176025.37305326687,2026-08-19 00:00:00
100047,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,10978745.67136225,2026-08-26 00:00:00
3,0xd917b029c761d264c6a312bbbcda868658ef86a6,0.2999581,2026-07-01 00:00:00
7,0xd917b029c761d264c6a312bbbcda868658ef86a6,372.72597771137805,2026-07-08 00:00:00
81,0xd917b029c761d264c6a312bbbcda868658ef86a6,16.771629620266037,2026-07-15 00:00:00
4884,0xd917b029c761d264c6a312bbbcda868658ef86a6,537681.2186262181,2026-07-22 00:00:00
8292,0xd917b029c761d264c6a312bbbcda868658ef86a6,723707.1264847119,2026-07-29 00:00:00
2846,0xd917b029c761d264c6a312bbbcda868658ef86a6,183776.26171898466,2026-08-05 00:00:00
1302,0xd917b029c761d264c6a312bbbcda868658ef86a6,88061.64782676334,2026-08-12 00:00:00
1407,0xd917b029c761d264c6a312bbbcda868658ef86a6,66552.7440455811,2026-08-19 00:00:00
4789,0xd917b029c761d264c6a312bbbcda868658ef86a6,652544.143475633,2026-08-26 00:00:00
3,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,0.2999292,2026-07-01 00:00:00
6,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,6.352215097094,2026-07-08 00:00:00
16,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,114.60485411230573,2026-07-15 00:00:00
