n_trades,n_trades_closed_hours,token_address,vol_usd
252,190,0xb1cc0ec7db69cf43539119814df40071b9d61793,6159.2295255970075
215,165,0xc583c60aef9dc401da72cec1b404743a93cea1cc,8391.804592805438
209,186,0xea72ecca2d0f6bfa1394dbbcff85b52cd4233931,18757.45412044874
199,167,0xf543967eebb6f1917992ef0e68de63ab07a5a0da,3911.290529410285
196,146,0x92f9f459f1a9a5ad266b182be7bffd1c6c666894,3973.8441759943403
189,133,0x92ef19e82bd8ff36661de838d5eae7e5cef0effe,6028.243877825695
177,98,0xc02f12b9fe9e707079ec0d546f3050d3f6c1f8bd,3691.045566782972
168,133,0xb334c5ce741b80b5b671f47f5c269cb193fe8e24,2118.975957151545
168,102,0x284358abc07f9359f19f4b5b4ac91901be2597ba,7899.163221902823
166,153,0x282e87451e10fa6679bc7d76c69be44cd3fc777c,6656.716719082791
153,140,0x558378e000d634a36593e338ebacdd6207640efe,8113.719174280343
149,107,0xad622320e520de39e72d41ef07438c3fd3354875,8572.867792724195
148,116,0x59dd09d4900c2e4b5f75b7c0d4e6796fcc234cb1,3209.854947565015
148,128,0xcf6b2d875361be807eafa57458c80f28521f9333,2531.694450609058
147,110,0x15cd20759ce7f3285c29a319de2d1a2e098c6f43,6200.148323699261
146,105,0x12e3c047bf9aecaf9ddc98c05c31bfd1dd043993,985.8090148423498
144,82,0xa4f319104089fe321dc8093c6e707d4fe190a988,4264.303159020211
142,74,0x8b2f88497f15a18e9d4ffa1a8ffb8538399ae774,3799.110831903643
138,37,0xf1953dab6fad537488d5a022361ffaa8b4c95ec6,8362.850045911755
137,59,0xa8eb3bccbf2017ee7cbfb652eb51cf2e1b153289,5786.969603837155
137,114,0xc6cbad1016b38b797610c25e1dc7d95988b1f362,1020.6627708077441
133,97,0xdd356aa38f40a7b7076755ac854b6fbb1f0d305b,3738.222413698093
129,108,0xaa4d64474c172010ab57719cb9951e6142a100d3,4629.291812166833
125,63,0x7fd06a4d81ccfa3f351394e144d5191874c31313,2818.121127103943
125,66,0x1eebee7f74517e0279dfb09d25b0407beec3fdd6,1991.2613873155979
121,98,0x0b5fb4031cae9163db10b169ee72685f0edc8545,1272.5435072030923
118,75,0xf23250dac154d05bb671cb0d0ebef3c635c79ce2,3478.687332680177
117,95,0xae517a2903e68bd929dfd15be875f8369d53e94a,1531.79470614095
114,78,0xd95b44124e475743a7589e68f3d74008a5536d44,1806.7060967726654
110,62,0x237c16d66590f67b886d978acd362eaead8b18c7,2782.7585145446965
108,54,0xb039597ed45cba7b6e2fb9e8be51802969cee5be,2041.9160002101285
102,90,0x7f0abef0c07280f82c6a08ead09ded6bae2c13fc,2596.017279086112
101,64,0xcf364ea52787e289de6f32077834056e3e70d6a8,1942.628626183762
100,89,0x75742c18bc1f1c5c5f448f4c9d9c6f66dafaaa38,3710.7797650008847
99,73,0x96b933c74ecb4a0926b9210cef7b743ef46be2e9,2524.140794770038
93,78,0x329fcaceb9ad6f9580dd5f643fed0646900d043c,1212.4920966220539
