token,feed_addr,t_checkpoint,D,P_vwap,F_anchor,anchor_age_min,n_trades_pre,vol_usd_pre
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 07:00:00+00:00,0.0013820744343227152,162.4193205410106,162.195,361.3833333333333,9,613.266897231006
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 08:00:00+00:00,0.006249502363222822,164.09732879362733,163.075,49.233333333333334,6,804.1854048782151
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 11:00:00+00:00,-0.006297554836207958,162.05125317936853,163.075,229.23333333333332,13,500.4128043841481
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 12:00:00+00:00,0.007956268625971956,163.53970329861463,162.2437,38.15,28,3374.740785450309
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 13:00:00+00:00,0.009634260782142268,162.74429227002565,161.1839,15.116666666666667,27,3536.286770062611
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 21:00:00+00:00,-0.002613183957261754,157.44303435187126,157.855,64.66666666666667,6,502.939872189702
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-24 22:00:00+00:00,-0.007813806112957693,156.62635807222134,157.855,124.66666666666667,17,891.165785958702
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 02:00:00+00:00,-0.007221939181981472,156.7190874731095,157.855,364.6666666666667,7,2004.2123506053952
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 03:00:00+00:00,-0.0050795064907266626,157.05520749815403,157.855,424.6666666666667,14,927.9808292210552
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 06:00:00+00:00,-0.007896340892567657,156.61343148373064,157.855,604.6666666666666,7,1115.254676197659
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 12:00:00+00:00,-0.00892792209608403,156.45195531380438,157.855,964.6666666666666,8,2140.552067197778
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 17:00:00+00:00,-0.00459932416753309,157.13064074196586,157.855,1264.6666666666667,6,639.4929109203309
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-25 20:00:00+00:00,-2.6921985986713803e-05,157.85075028710767,157.855,1444.6666666666667,4,924.247090668048
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 03:00:00+00:00,0.012255565388838296,159.8015056747227,157.855,1864.6666666666667,7,2321.686532592684
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 05:00:00+00:00,0.011296773706264761,159.648362748033,157.855,1984.6666666666667,11,1008.632711656835
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 12:00:00+00:00,0.005375006998883589,158.705756091538,157.855,2404.6666666666665,6,849.6333835414837
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 16:00:00+00:00,0.016016457552191294,160.40363346422586,157.855,2644.6666666666665,8,4370.456239567992
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 17:00:00+00:00,0.0184286175609938,160.79101972512373,157.855,2704.6666666666665,20,4029.997016048302
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 21:00:00+00:00,0.0008552336992790948,157.99006066158208,157.855,2944.6666666666665,9,862.0891636966988
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 22:00:00+00:00,0.022498695785382713,161.4467853566339,157.855,3004.6666666666665,8,2632.913520959911
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-26 23:00:00+00:00,0.027143825126234783,162.19847104329213,157.855,3064.6666666666665,44,3456.1184089486283
COIN,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-27 00:00:00+00:00,0.030551541605816586,162.75214028413578,157.855,3124.6666666666665,15,1681.1329842327852
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 02:00:00+00:00,-0.002283197273646377,123.0138143055142,123.29499999,24.683333333333334,18,2645.2310436989314
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 08:00:00+00:00,0.0012092068955091636,124.07994765115643,123.93,34.583333333333336,18,1393.270587444754
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 13:00:00+00:00,-0.004900048694776146,124.2177333555338,124.8279,17.466666666666665,117,16452.737440072193
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 20:00:00+00:00,0.0070718688368320995,123.93370112673854,123.06035,8.333333333333334,34,978.4978631683226
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 22:00:00+00:00,-0.008274293503444231,122.04631354847866,123.06035,128.33333333333334,6,1646.3492961127904
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-24 23:00:00+00:00,-0.007433135412738737,122.1490169814169,123.06035,188.33333333333334,18,1608.8511979942623
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-25 01:00:00+00:00,0.002109586536712655,123.32023048136543,123.06035,308.3333333333333,43,5627.785932820867
