entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
16,1.4341026681816833,1118.7909246069087,7,0.1585718363579347,114.206181424395,49,1.5236727337777174,1093.8135373655916,18,0.6362208926857095,456.4738010599161,2026-08-27 01:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
8,0.13047444550663329,93.59959956446826,49,2.495642407831661,1788.391309895716,10,0.30377648177778493,217.5785085763125,9,0.06791022089468891,48.74772927880396,2026-08-27 02:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
6,0.046189552009345304,33.16293087298836,19,1.7632370163610946,1267.0369122057907,14,0.12389257216450547,88.75386340525225,32,3.5797297559065573,2572.3864325225068,2026-08-27 03:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
29,0.2464971536378292,176.97935226469156,45,3.624269159006078,2606.9683500906995,4,0.07432274332220364,53.36506362939476,15,0.42676015044749704,323.04698150004447,2026-08-27 04:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
16,0.13229932012955778,94.95846864209265,28,3.2662163063398753,2354.277521673429,24,1.4178097413340158,1018.4830627854049,49,1.5236727337777174,1093.8135373655916,2026-08-27 05:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
10,0.5412283548545974,387.48945274571406,33,1.0970943509373892,790.0605666206856,18,0.9770791645468065,704.5549131057339,10,0.30377648177778493,217.5785085763125,2026-08-27 06:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
17,4.249531770518938,3052.427131016287,221,18.269142358178,13229.52375493897,8,0.1601827687912737,115.21279965145004,14,0.12389257216450547,88.75386340525225,2026-08-27 07:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
33,2.4873025633415127,1784.3829530699818,29,2.0872811404824816,1504.5655659485449,8,0.38108151606225465,273.83214667883107,4,0.07432274332220364,53.36506362939476,2026-08-27 08:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
23,1.181451168727193,848.6705605848398,10,0.1541246591083397,110.93028906819954,7,0.1585718363579347,114.206181424395,24,1.4178097413340158,1018.4830627854049,2026-08-27 09:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
36,2.586563384770081,1870.4748448772466,12,0.1979117262340867,142.5664897204002,49,2.495642407831661,1788.391309895716,18,0.9770791645468065,704.5549131057339,2026-08-27 10:00:00,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68
